Value 1,Value 2,Value 3,Value 4
6021,-1219,8388607,-231565
3946,-937,8388607,-231451
1743,-374,8388607,-231335
-132,161,8388607,-231346
-1794,700,8388607,-231590
-3104,1216,8388607,-231587
-3777,1703,8388607,-231456
-3799,1965,8388607,-230911
-3524,2279,8388607,-230731
-2829,2533,8388607,-230684
-1436,2457,8388607,-230923
574,2108,8388607,-230898
2747,1559,8388607,-230937
4558,1163,8388607,-230953
6188,866,8388607,-230875
7512,282,8388607,-230714
8257,-319,8388607,-231241
8440,-794,8388607,-231547
8288,-1117,8388607,-231784
7618,-1283,8388607,-232094
6173,-1209,8388607,-232439
3989,-857,8388607,-232486
1869,-371,8388607,-232609
33,39,8388607,-232552
-1509,510,8388607,-232416
-2789,1106,8388607,-232255
-3545,1567,8388607,-232389
-3827,2033,8388607,-232637
-3590,2383,8388607,-232867
-2723,2473,8388607,-232764
-1372,2364,8388607,-232742
586,2088,8388607,-232745
2755,1566,8388607,-232646
4575,1137,8388607,-232376
6206,703,8388607,-232257
7569,72,8388607,-232262
8414,-435,8388607,-232635
8627,-906,8388607,-232796
8358,-1122,8388607,-232946
7684,-1233,8388607,-232777
6309,-1245,8388607,-232705
4229,-963,8388607,-232691
2040,-462,8388607,-232551
201,51,8388607,-232381
-1471,559,8388607,-232326
-2827,1112,8388607,-232417
-3604,1619,8388607,-232521
-3698,1940,8388607,-232297
-3459,2162,8388607,-232095
-2836,2382,8388607,-231705
-1582,2344,8388607,-231526
383,2041,8388607,-231354
2583,1626,8388607,-230885
4481,1178,8388607,-230497
6241,564,8388607,-230604
7584,-23,8388607,-230638
8419,-561,8388607,-231195
8661,-964,8388607,-231514
8481,-1217,8388607,-231559
7768,-1362,8388607,-231552
6344,-1257,8388607,-231919
4279,-926,8388607,-231996
2086,-527,8388607,-232026
264,-151,8388607,-231929
-1423,345,8388607,-231885
-2836,956,8388607,-232021
-3698,1484,8388607,-232117
-3854,1896,8388607,-231804
-3561,2136,8388607,-231833
-2801,2298,8388607,-231722
-1376,2225,8388607,-231577
551,1984,8388607,-231306
2586,1617,8388607,-231116
4421,1081,8388607,-231013
6089,527,8388607,-231234
7485,-112,8388607,-231513
8265,-633,8388607,-231721
8442,-936,8388607,-231688
8276,-1175,8388607,-231774
7611,-1351,8388607,-232007
6287,-1392,8388607,-232454
4371,-1125,8388607,-232744
2200,-661,8388607,-233112
200,-99,8388607,-232972
-1520,449,8388607,-232759
-2911,983,8388607,-232639
-3694,1470,8388607,-232691
-3941,1928,8388607,-232496
-3657,2128,8388607,-232832
-2982,2244,8388607,-232893
-1759,2224,8388607,-232872
109,2031,8388607,-232934
2193,1569,8388607,-232827
4147,1044,8388607,-232679
5869,559,8388607,-232843
7251,-37,8388607,-232845
8031,-528,8388607,-232873
8157,-877,8388607,-232811
8053,-1215,8388607,-233071
7451,-1396,8388607,-233196
6111,-1371,8388607,-233354
4146,-1094,8388607,-233471
2026,-656,8388607,-233585
32,-155,8388607,-233491
-1764,359,8388607,-233704
-3215,946,8388607,-233786
-4042,1459,8388607,-233798
-4232,1855,8388607,-233646
-4055,2106,8388607,-233336
-3443,2245,8388607,-233148
-2127,2247,8388607,-233021
-212,1997,8388607,-232764
1933,1574,8388607,-232486
3715,1196,8388607,-232432
5350,726,8388607,-232759
6790,113,8388607,-232727
7695,-431,8388607,-232648
7877,-749,8388607,-232544
7634,-956,8388607,-232592
7024,-1107,8388607,-232857
5689,-1104,8388607,-232883
3691,-829,8388607,-232496
1528,-407,8388607,-232469
-379,-15,8388607,-232396
-2051,443,8388607,-232234
-3499,1040,8388607,-231855
-4357,1597,8388607,-231860
-4553,1972,8388607,-232152
-4332,2249,8388607,-232196
-3697,2499,8388607,-231923
-2400,2449,8388607,-231859
-493,2189,8388607,-231694
1641,1826,8388607,-231780
3545,1369,8388607,-231456
5282,782,8388607,-231447
6722,153,8388607,-231707
7586,-383,8388607,-231981
7846,-759,8388607,-231903
7694,-999,8388607,-231986
7107,-1216,8388607,-231820
5847,-1214,8388607,-231967
3935,-904,8388607,-232197
1816,-447,8388607,-232626
-108,10,8388607,-232619
-1744,454,8388607,-232511
-3212,1045,8388607,-232407
-4051,1563,8388607,-232326
-4232,1970,8388607,-232079
-4051,2251,8388607,-232273
-3489,2470,8388607,-232071
-2209,2506,8388607,-232050
-302,2197,8388607,-231802
1795,1747,8388607,-231821
3812,1218,8388607,-231745
5556,710,8388607,-231799
6969,182,8388607,-231771
7888,-348,8388607,-232073
8191,-782,8388607,-232186
8041,-1071,8388607,-232319
7483,-1237,8388607,-232492
6256,-1222,8388607,-232727
4358,-979,8388607,-232627
2181,-539,8388607,-232297
231,-25,8388607,-232256
-1418,481,8388607,-232204
-2841,1139,8388607,-232082
-3697,1638,8388607,-232247
-3978,2034,8388607,-232097
-3782,2268,8388607,-232187
-3170,2449,8388607,-232262
-1927,2508,8388607,-232166
-118,2304,8388607,-231912
2048,1839,8388607,-232085
3958,1321,8388607,-231952
5709,819,8388607,-232033
7222,193,8388607,-231967
8149,-339,8388607,-231811
8459,-732,8388607,-231480
8413,-976,8388607,-231466
7879,-1141,8388607,-231802
6562,-1126,8388607,-231834
4562,-884,8388607,-231849
2358,-548,8388607,-232008
381,-25,8388607,-231789
-1351,610,8388607,-231750
-2778,1255,8388607,-231728
-3694,1713,8388607,-231832
-3966,2098,8388607,-232008
-3793,2368,8388607,-232465
-3191,2628,8388607,-232646
-1968,2601,8388607,-232566
-155,2364,8388607,-232565
1879,1933,8388607,-232732
3761,1453,8388607,-232667
5489,938,8388607,-232868
6890,337,8388607,-232986
7838,-197,8388607,-232921
8143,-546,8388607,-232555
7981,-782,8388607,-232441
7436,-1036,8388607,-232566
6228,-1012,8388607,-232950
4343,-780,8388607,-232902
2250,-402,8388607,-232751
294,80,8388607,-232349
-1420,627,8388607,-232032
-2920,1231,8388607,-231896
-3879,1754,8388607,-231879
-4138,2158,8388607,-231801
-3927,2394,8388607,-232081
-3368,2582,8388607,-232317
-2249,2736,8388607,-232257
-384,2533,8388607,-231940
1719,2081,8388607,-231750
3606,1623,8388607,-231585
5347,1098,8388607,-231592
6760,491,8388607,-231602
7698,-22,8388607,-231923
8093,-486,8388607,-231754
8016,-802,8388607,-231590
7443,-1007,8388607,-231792
6225,-1059,8388607,-232087
4362,-802,8388607,-232010
2242,-392,8388607,-231988
282,88,8388607,-231951
-1462,631,8388607,-232008
-2961,1202,8388607,-231874
-3892,1696,8388607,-231701
-4171,2109,8388607,-231566
-4036,2441,8388607,-231636
-3401,2611,8388607,-231462
-2263,2638,8388607,-231672
-492,2410,8388607,-231809
1619,1931,8388607,-231541
